price,freight_value,product_category_encoded,customer_state_encoded,seller_state_encoded,purchase_month,purchase_dayofweek,late_delivery_flag
29.99,8.72,73,25,21,10,0,0
118.7,22.76,62,4,21,7,1,0
159.9,19.22,8,8,21,8,2,0
45.0,27.2,63,19,7,11,5,0
19.9,8.72,59,25,21,2,1,0
147.9,27.36,8,17,21,7,6,0
59.99,15.17,8,18,21,5,1,0
149.99,19.77,55,25,21,7,5,0
99.0,30.53,40,18,4,5,1,0
99.0,30.53,40,18,4,5,1,0
98.0,16.13,44,25,18,7,3,0
19.9,12.8,13,25,21,7,2,0
38.25,16.11,12,25,21,3,3,0
132.4,14.05,62,8,3,6,3,0
1299.0,77.45,21,18,21,1,1,0
17.9,11.85,13,25,21,11,1,0
76.0,16.97,70,4,21,10,3,0
109.9,8.96,11,25,21,9,0,1
79.99,8.91,11,25,21,3,3,0
9.5,7.78,30,25,21,2,5,0
89.9,14.21,59,25,21,8,3,0
109.9,15.53,26,18,21,2,1,1
47.9,12.79,62,25,21,3,0,0
178.99,13.69,66,25,21,5,2,0
30.1,33.24,40,21,14,2,6,0
279.0,34.19,9,25,21,8,3,0
186.9,38.0,19,15,21,4,0,0
49.0,14.1,54,25,14,12,1,0
84.9,15.35,12,18,21,2,5,0
179.0,9.41,62,25,21,7,6,0
78.0,28.95,40,26,21,2,5,0
39.9,26.89,30,5,21,2,2,0
27.9,15.1,44,25,7,7,0,0
36.9,12.79,13,25,21,3,0,0
119.99,34.2,40,18,7,5,4,0
339.0,17.12,73,25,19,11,4,1
69.9,25.77,32,6,19,8,4,0
139.0,14.72,40,18,4,5,3,0
36.9,17.92,32,4,21,5,6,0
69.9,12.43,54,25,21,5,3,0
33.9,18.34,32,22,21,7,6,0
115.0,15.56,48,25,19,8,2,0
39.47,13.37,21,25,21,2,3,0
53.44,18.47,31,17,18,6,1,0
60.0,15.52,32,22,21,7,3,0
60.0,15.52,32,22,21,7,3,0
369.0,17.33,66,18,21,12,4,0
38.4,11.85,54,25,21,8,3,0
22.99,22.85,70,24,21,3,4,1
22.99,22.85,70,24,21,3,4,1
84.9,14.36,54,25,21,3,0,1
113.0,28.15,32,25,14,6,1,0
79.9,11.76,13,25,21,11,3,0
39.9,13.76,32,6,5,8,6,0
299.0,18.34,32,18,21,11,2,0
27.9,15.1,1,10,21,2,0,0
24.89,15.1,70,10,3,2,5,0
42.99,12.03,21,25,21,6,2,0
27.9,18.3,1,23,21,7,6,0
50.0,9.34,9,25,21,9,2,0
190.0,19.41,19,25,21,4,4,0
42.9,14.1,26,25,15,2,3,0
69.9,14.66,11,10,15,2,0,0
38.0,15.56,73,17,21,4,3,0
38.0,15.56,73,17,21,4,3,0
38.0,15.56,73,17,21,4,3,0
38.0,15.56,73,17,21,4,3,0
38.0,15.56,73,17,21,4,3,0
56.99,15.84,62,12,21,9,4,0
56.99,15.84,62,12,21,9,4,0
24.99,12.84,8,25,21,7,5,0
219.0,15.28,66,22,14,8,2,0
93.0,7.91,66,25,21,8,6,0
93.0,7.91,66,25,21,8,6,0
19.99,7.78,11,25,21,7,6,0
45.0,14.1,70,6,21,12,4,0
58.2,8.78,11,10,7,4,3,0
110.99,21.27,13,22,21,5,1,0
38.5,24.84,13,14,21,4,3,0
179.99,51.13,55,4,21,10,0,0
544.0,30.36,32,25,21,12,4,0
14.82,15.1,13,23,21,8,5,0
394.9,14.89,44,25,14,2,1,0
49.9,12.79,39,25,21,5,4,0
89.18,16.38,54,10,21,1,0,0
29.99,7.39,70,25,21,5,1,0
58.99,17.66,11,17,21,9,1,0
219.9,18.79,66,23,21,12,2,0
759.0,13.08,70,25,21,4,6,0
65.9,37.37,32,5,21,8,4,0
83.9,17.84,54,18,21,11,2,1
17.9,10.96,13,25,21,3,3,0
160.0,12.14,73,25,21,8,6,0
29.9,12.69,32,25,21,5,2,0
13.99,7.39,11,25,21,7,0,1
535.9,18.5,11,22,19,3,3,0
69.9,26.11,54,25,7,2,1,0
27.3,15.1,72,10,21,1,5,0
235.99,17.41,66,10,21,7,5,0
19.9,8.72,73,25,21,9,2,0
25.99,14.1,54,18,21,11,1,1
18.5,7.94,62,18,15,2,3,0
49.9,16.54,59,6,7,8,2,0
49.9,16.54,59,6,7,8,2,0
199.0,32.79,26,18,19,5,2,0
109.9,25.61,13,18,21,11,6,1
29.99,8.11,33,22,18,9,4,0
59.9,14.13,73,25,21,6,1,0
42.9,15.1,73,18,21,1,1,0
43.0,23.02,66,19,21,8,0,0
12.5,14.1,32,18,21,1,1,0
12.5,14.1,32,18,21,1,1,0
59.9,18.25,45,25,14,3,2,0
69.99,14.58,13,25,21,5,1,0
129.6,25.4,55,14,21,3,3,0
31.8,39.28,54,18,21,11,4,0
31.8,39.28,54,18,21,11,4,0
129.9,12.0,13,25,21,4,2,0
99.9,13.72,13,25,21,7,6,0
146.0,15.77,66,17,21,11,1,0
39.49,8.27,11,25,21,10,3,0
39.49,8.27,11,25,21,10,3,0
54.99,13.6,13,18,15,7,6,0
110.32,8.03,11,25,21,7,2,0
91.99,6.75,32,25,21,3,1,0
91.99,13.5,32,25,21,3,1,0
91.99,13.5,32,25,21,3,1,0
25.0,13.47,73,10,7,6,4,0
259.9,53.01,50,25,21,7,0,0
39.0,12.79,59,25,21,5,2,0
104.9,4.39,32,25,21,7,3,0
110.32,12.53,11,25,21,7,3,0
7.0,15.79,62,8,7,9,2,0
49.9,17.6,40,10,21,2,2,1
126.99,29.68,11,25,21,1,2,0
28.99,24.84,70,13,21,4,2,0
281.99,17.73,40,22,21,11,0,0
45.0,7.39,23,25,21,5,4,0
45.0,7.39,23,25,21,5,4,0
45.0,7.39,23,25,21,5,4,0
45.0,7.39,23,25,21,5,4,0
45.0,7.39,23,25,21,5,4,0
45.0,7.39,23,25,21,5,4,0
89.49,8.39,11,25,21,5,4,0
60.0,15.18,9,17,21,11,6,0
49.99,25.66,63,12,7,11,4,0
59.99,25.66,63,12,7,11,4,0
93.99,23.46,49,10,21,7,0,0
148.9,21.53,13,25,19,2,2,0
119.0,15.58,59,22,21,5,0,0
48.0,11.85,70,25,21,7,5,0
66.39,19.66,1,17,21,7,0,0
159.99,57.79,9,22,21,10,2,0
49.9,17.6,54,6,7,12,3,0
199.0,16.14,66,23,21,2,4,0
229.9,55.69,32,25,14,8,3,0
117.3,28.2,8,4,21,11,2,0
35.9,7.39,13,25,21,4,3,0
98.7,12.19,8,25,21,12,5,0
179.9,24.55,55,25,21,3,3,0
99.9,9.45,28,25,21,6,0,0
62.8,11.94,51,25,21,9,0,0
45.0,11.86,28,25,21,4,6,0
109.9,23.35,9,25,14,4,2,0
159.0,21.95,13,17,21,9,1,0
410.0,35.32,0,12,14,2,2,0
37.99,14.52,70,10,21,4,5,0
110.0,14.16,72,25,21,9,2,0
52.39,13.08,11,25,21,1,3,0
87.37,10.79,73,25,21,3,1,0
24.99,15.79,70,12,21,12,2,0
83.0,23.73,44,10,19,8,4,0
159.99,27.2,14,25,7,3,3,0
179.9,15.01,62,10,21,5,3,0
179.9,15.01,62,10,21,5,3,0
679.0,19.85,70,25,15,7,4,0
84.99,14.34,62,18,21,7,5,0
49.99,8.29,62,25,21,3,3,0
59.9,17.13,73,25,21,6,6,0
39.99,9.74,44,22,18,2,2,0
69.9,16.46,63,10,21,5,1,1
167.0,18.95,54,8,21,7,4,0
169.49,68.23,73,8,19,7,4,0
95.0,13.01,59,25,21,8,1,0
27.9,7.46,8,25,21,7,5,0
289.9,15.8,51,22,18,3,3,0
69.9,13.15,11,25,21,8,2,0
99.9,21.78,54,23,14,4,0,0
49.9,7.78,33,25,21,2,5,0
25.9,9.34,32,25,21,12,2,0
269.9,16.64,32,10,21,11,3,0
52.88,25.21,73,17,21,6,0,0
279.99,21.2,32,22,15,9,1,0
102.0,38.88,43,25,21,7,6,0
12.88,7.87,44,25,21,5,2,0
129.97,35.43,73,10,18,2,5,0
96.0,6.56,66,25,21,5,3,0
64.99,19.65,13,17,19,8,4,0
428.0,18.51,9,25,21,4,2,0
159.99,57.79,9,22,21,9,2,0
120.0,18.09,23,18,21,2,0,0
37.99,12.69,13,25,21,11,3,0
155.99,14.11,62,25,14,1,2,0
69.9,19.98,54,11,21,1,3,0
89.9,13.65,13,25,21,6,6,0
135.0,25.14,13,7,21,3,3,0
31.9,14.1,44,18,7,7,0,0
49.99,13.47,11,10,7,5,2,0
136.78,8.22,62,25,21,8,2,0
117.7,18.7,62,10,15,4,1,0
22.5,11.74,72,10,7,4,5,0
129.9,16.54,48,25,21,12,0,0
110.32,18.65,11,23,21,5,4,0
110.32,18.65,11,23,21,5,4,0
59.99,14.17,66,25,15,12,3,0
320.0,18.0,20,25,7,2,1,0
359.7,17.27,54,17,21,11,4,0
359.7,17.27,54,17,21,11,4,0
49.99,14.1,33,10,21,12,6,0
48.32,11.15,40,25,21,3,3,0
74.9,16.28,13,17,21,11,2,0
65.0,18.33,25,23,21,4,1,0
17.5,10.96,44,25,21,4,3,0
38.2,15.1,32,25,21,1,3,0
68.0,8.29,59,25,21,5,1,0
383.5,19.82,8,25,21,6,5,0
79.9,15.31,11,22,19,7,6,0
39.9,11.85,13,25,21,1,1,0
39.9,11.85,13,25,21,1,1,0
199.0,12.89,11,25,21,1,1,0
99.0,12.4,54,17,14,2,3,0
119.9,23.42,63,25,19,3,4,0
34.99,10.96,71,25,21,2,6,0
24.9,16.79,32,4,7,11,4,0
199.9,17.03,13,25,21,1,1,0
109.9,10.97,11,18,15,3,2,0
109.9,10.97,11,18,15,3,2,0
35.0,13.83,10,25,21,6,5,0
56.9,18.2,53,22,21,8,2,0
178.99,19.13,66,18,21,4,1,0
122.99,9.06,72,25,21,2,3,0
94.0,18.46,54,17,21,7,3,0
70.91,13.52,54,25,21,11,4,1
174.9,35.74,9,4,21,8,3,0
109.9,14.86,13,25,21,5,1,0
59.99,9.74,32,25,21,1,0,0
12.99,18.23,70,10,21,6,5,0
13.3,8.88,8,25,21,7,5,0
64.9,11.95,54,25,21,11,1,0
15.9,16.79,8,8,7,2,6,0
79.97,20.6,32,25,21,3,5,0
44.9,10.66,12,6,21,5,0,0
325.0,38.96,11,15,21,3,4,0
72.9,12.01,13,25,21,2,1,0
109.0,98.02,32,11,21,1,2,0
394.65,24.47,11,22,15,6,5,0
34.49,7.78,11,25,21,11,5,0
54.9,24.73,9,4,19,8,2,0
170.0,24.06,66,4,21,11,4,0
27.9,11.85,48,25,21,2,5,0
39.9,10.96,33,10,7,4,3,0
89.99,18.21,26,7,21,4,1,0
84.9,17.84,34,22,21,11,0,0
34.9,37.15,66,26,21,7,0,0
16.99,7.39,44,25,21,4,1,0
49.0,7.78,66,25,21,1,4,0
119.0,12.33,32,25,21,7,0,0
219.0,19.41,66,17,19,3,2,0
89.18,27.16,54,15,21,2,3,0
89.9,12.13,13,25,21,6,3,0
89.9,12.13,14,25,21,6,3,0
79.0,17.8,59,18,21,1,4,0
115.0,15.69,9,25,7,3,3,0
299.0,23.17,54,25,14,3,3,0
259.9,15.29,13,25,21,3,1,0
55.9,22.32,32,10,19,8,4,0
174.9,31.97,9,10,21,9,1,0
217.85,129.84,16,8,21,9,2,0
142.9,8.66,25,8,21,9,2,0
142.9,8.66,25,8,21,9,2,0
217.85,129.84,16,8,21,9,2,0
95.9,32.81,8,13,21,8,3,0
95.9,32.81,8,13,21,8,3,0
89.0,7.88,7,25,21,6,1,0
144.99,17.26,26,18,21,12,4,1
43.99,13.47,59,25,14,3,4,0
59.9,13.44,40,25,21,9,0,0
99.9,59.14,32,4,14,5,1,0
19.9,14.1,8,6,21,11,2,0
39.9,9.34,62,25,21,1,6,0
52.0,11.86,44,25,21,8,2,0
159.0,18.36,54,10,21,9,6,0
132.0,11.94,26,25,21,8,1,0
135.0,45.45,32,10,7,5,5,1
153.0,12.57,13,25,21,7,4,0
84.99,16.35,62,10,21,12,1,0
59.9,9.42,54,25,21,3,2,0
129.9,9.66,26,25,21,8,0,0
38.25,16.11,12,17,21,2,4,0
412.0,24.7,19,25,21,8,3,0
168.9,24.05,72,18,19,1,1,0
1148.0,107.43,29,23,15,4,2,0
39.0,12.79,13,25,21,5,0,0
69.9,20.98,32,10,21,11,6,0
139.5,14.32,44,17,14,6,1,0
139.5,14.32,44,17,14,6,1,0
69.99,15.25,12,18,21,12,4,0
24.9,16.79,73,4,21,5,4,0
75.0,21.02,73,7,21,8,2,0
18.9,7.39,73,25,21,8,3,0
1099.0,20.6,31,25,21,4,6,0
65.9,17.2,13,18,21,4,2,0
28.9,15.1,44,7,21,8,3,0
1999.0,32.09,66,17,21,7,6,0
204.0,18.68,66,10,21,2,3,1
69.0,18.58,62,10,21,8,4,0
249.0,15.22,70,4,1,8,5,0
64.99,31.48,44,25,21,7,2,0
185.9,35.38,12,25,14,7,1,0
154.9,17.52,66,4,21,10,2,0
110.32,17.16,11,8,21,5,2,0
138.9,17.16,11,8,21,5,2,0
21.15,23.22,73,4,21,11,5,0
144.9,16.11,32,18,21,7,1,0
131.0,8.17,59,25,21,5,0,0
94.5,23.24,13,25,19,3,3,0
102.9,22.43,66,4,21,4,6,0
182.0,19.42,66,10,14,7,6,0
18.0,12.79,11,25,21,8,1,0
166.99,23.49,26,8,21,12,1,0
25.99,7.78,70,25,21,10,2,0
29.99,25.63,70,15,21,7,0,0
31.99,12.88,26,25,21,7,4,0
175.0,16.99,44,22,14,10,1,0
175.0,16.99,44,22,14,10,1,0
60.0,23.22,32,25,21,6,1,0
84.94,12.93,32,25,21,11,3,0
89.0,15.37,11,18,21,6,5,0
159.99,45.58,55,22,21,5,0,0
79.99,14.31,13,18,21,1,0,0
65.0,14.2,62,25,14,11,4,0
109.9,18.65,32,17,21,3,2,0
68.9,79.86,32,10,18,3,2,0
59.9,9.34,30,25,21,11,0,0
59.9,9.34,30,25,21,11,0,0
26.0,15.1,54,23,21,5,4,0
64.9,7.78,9,25,21,12,5,0
112.0,38.21,21,4,4,3,3,0
60.0,52.77,8,9,21,6,5,0
170.0,10.32,44,22,18,8,0,0
27.99,15.79,70,4,21,11,0,0
69.0,18.58,66,22,21,6,2,0
79.9,21.01,32,8,19,4,4,0
185.0,20.26,32,22,21,3,0,0
64.89,17.7,9,17,21,12,0,0
29.99,22.93,44,24,21,6,2,0
179.49,9.45,8,25,21,2,4,0
59.99,17.67,26,10,21,8,3,0
179.9,16.02,11,6,21,9,1,0
59.9,13.44,73,25,21,11,6,0
235.92,13.78,44,25,14,12,4,0
235.92,13.78,44,25,14,12,4,0
292.0,9.3,59,25,21,5,2,1
59.99,12.76,13,25,21,11,3,0
59.99,12.76,13,25,21,11,3,0
47.65,7.39,11,25,21,3,0,0
89.99,17.88,13,17,21,3,6,0
296.5,9.66,20,22,18,7,0,0
2690.0,61.24,40,18,19,4,3,1
49.9,41.33,40,18,21,8,6,0
89.9,12.13,13,25,21,7,6,0
106.9,47.8,50,17,7,7,5,0
120.0,7.94,32,25,15,10,2,0
204.0,23.83,32,25,15,10,2,0
29.9,16.11,54,10,21,8,0,0
29.9,16.11,54,10,21,8,0,0
29.9,16.11,54,10,21,8,0,0
199.98,12.9,26,25,21,12,3,0
56.99,8.72,62,25,21,11,0,0
19.9,12.8,30,25,21,7,6,0
61.5,25.71,8,15,21,11,5,0
